komentar,platform,clean,sentimen
"Film horor terbaik di Indonesia menurutku, Pengabdi setan 1 dan 2. Mesti harus nunggu lama dulu dari tahun 2018 :)",youtube,film horor baik indonesia turut abdi setan mesti nunggu,netral
Saya suka,youtube,suka,positif
Kemarin mau nonton di bioskop katanya udah ngk tayang,youtube,kemarin nonton bioskop udah ngk tayang,netral
Great film,youtube,great film,netral
Di PS 2 ini umur rini sama adik adik nya berapa tahun ya?,youtube,ps umur rini adik adik nya ya,netral
"Looks good, can't wait to watch it! Might even inspire me to write a couple more stories here for my channel too",youtube,looks good cant wait to watch it might even inspire me to write a couple more stories here for my channel too,netral
S2pid film..👎👎👎,youtube,spid film,netral
Aku udh nonton nih di bioskop,youtube,udh nonton nih bioskop,netral
Persi full movie nya mana om,youtube,pers full movie nya om,netral
"Ya dari dulu udah jd tuan rumah di negeri sendiri kali, kemana aja lu!?",youtube,ya udah jd tuan rumah negeri kali mana aja lu,netral
" @jaenalabdee5490  lah lu yang kemana aja, dari dulu mah di Indonesia rata rata pada taunya The conjuring, insidious, dll",youtube,jaenalabdee lu mana aja mah indonesia tau the conjuring insidious dll,netral
"Thanks, you should watch more Indonesian horror films",youtube,thanks you should watch more indonesian horror films,netral
Syukria,youtube,syukria,netral
"Keren emang, bagus kalo kamu suka",youtube,keren emang bagus kalo suka,positif
"Ngerti ""reboot"" gak Cong?? Org udik kyk Lo mending ga usah nonton film lah.... nonton wayang aja sono",youtube,ngerti reboot gak cong org udik kyk lo mending ga nonton film nonton wayang aja sono,netral
Ini kan versi reboot nya,youtube,versi reboot nya,netral
"Memang, dia disembunyikan jadi juru kunci pengabdi setan, makanya diumpetin sama bang jokan🤫🤫🤫",youtube,sembunyi juru kunci abdi setan diumpetin bang jok,netral
"pake skincare kali, jadi awet muda",youtube,pake skincare kali awet muda,netral
2017,youtube,,netral
"Ya sekarang udh gak tayang udah sebulan lebih, tunggu aja di online",youtube,ya udh gak tayang udah bulan tunggu aja online,netral
ya di bioskop lah🤡,youtube,ya bioskop,netral
1:37,youtube,,netral
"Kpn muncul di situs streaming online min? soalnya masih parno main ke bioskop.
klo nton di Disney Hotstar lbh nyaman, apalagi bareng keluarga, seru.",youtube,kpn muncul situs streaming online min parno main bioskop klo nton disney hotstar lbh nyaman bareng keluarga seru,netral
"Ntah knp kok gw ga serem samsek ya, apa ekspek gw ketinggian hmm tp gw apresiasi sih",youtube,ntah knp gw ga rem samsek ya ekspek gw tinggi hmm tp gw apresiasi sih,netral
"Filmnya alur ceritanya nanggung banget. Jumpscarenya nanggung, Ranting bitang 3 lah.",youtube,film alur cerita nanggung banget jumpscarenya nanggung ranting bitang,netral
Gak seru,youtube,gak seru,netral
Ciss dluu yg udh pernah nonton di bioskop bareng ayg🗿😝,youtube,ciss dluu yg udh nonton bioskop bareng ayg,netral
"Film lokal dari dulu gak berkualitas!!! Mau film horror, khusus yang phobia ketinggian.. recommended banget nonton Film FALL 2022...dari ujung rambut ujung kaki dijamin keringet dingin,linu dari awal film sampe akhir..",youtube,film lokal gak kualitas film horror khusus phobia tinggi recommended banget nonton film fall ujung rambut ujung kaki jamin keringet dinginlinu film sampe,netral
gaserem,youtube,gaserem,netral
"Joko, film yang kamu buat ini memang cerita nya fiksi. Tapi aku tau Joko, makna dan isi penggambaran karakter di cerita ini adalah sebuah realitas yang nyata dan melegenda. Bagaimana dosa yang dibuat dibumi ini akan ada masa penebusan nya. Dan ejekan ejekan si iblis akan sangat nyata datang kepada setiap pembuat dosa itu sendiri. Tidak peduli agamamu. Kau pasti akan jadi budak iblis ketika kau tidak sungguh sungguh bertaubat. Si iblis akan terus ada dalam setiap zaman untuk melihat dosa yang telah diperbuat . Aku tunggu cerita pengabdi setan mu yang ke 3 Joko. Aku ada disana. Untuk jadi saksi .",youtube,joko film cerita nya fiksi tau joko makna isi gambar karakter cerita realitas nyata legenda dosa bumi tebus nya ejek ejek si iblis nyata buat dosa peduli agama kau budak iblis kau sungguh sungguh taubat si iblis zaman dosa tunggu cerita abdi setan mu joko sana saksi,netral
Kok ga se gregetan yang pertamaa 🥲,youtube,ga gregetan pertamaa,netral
"Ini baru kualitas yg utama , pengabdi setan dua ini pantas jadi film horor terbaik sepanjang sejarah diindo , BUKAN KKN DESA PENARI YG PLOTNYA ALA SINETRON DURASI LAMA ALIAS DILAMA LAMAKAN SAMA ALUR ADEGAN YG ABSURD",youtube,kualitas yg utama abdi setan film horor baik sejarah diindo kkn desa tari yg plot ala sinetron durasi alias lama lama alur adegan yg absurd,netral
"Trailernya 5 juta ,yg notnn filemnya 6 juta. Alhamdulillah total 11 juta .",youtube,trailer juta yg notnn filemnya juta alhamdulillah total juta,netral
Gila.. horor bgt.. hrsnya film ini lebih viral dr yg lain..,youtube,gila horor bgt hrsnya film viral dr yg,netral
Asli ni keren bgt,youtube,asli ni keren bgt,positif
"Keren sih, apakah joko anwar referensi nya selalu conjuring? Musik, latar, kejutan kejutan, dll",youtube,keren sih joko anwar referensi nya conjuring musik latar kejut kejut dll,positif
"Ini baru serem, kaget, syok tetapi banget 😖",youtube,rem kaget syok banget,netral
Ini nazifa yang jadi Wina di film ini dia di calling buat screen test nya pake dm ya?,youtube,nazifa wina film calling screen test nya pake dm ya,netral
"My personal rate is 4.5/10. Or 5/10.
Lots of jumpscares and the storyline is little to no existence.
 There's no heroes in the story. They all ran away but barely. It's like The Conjuring which focusing on Christianity and this one focusing on Islam religion. And of course, all the target audiences who are Muslims are going to be scare. At least The Conjuring has good storyline. This one end is very unsatisfying. 

The vibe is good and the soundtracks is confusing but okey.",youtube,my personal rate is or lots of jumpscares and the storyline is little to no existence theres no heroes in the story they all ran away but barely its like the conjuring which focusing on christianity and this one focusing on islam religion and of course all the target audiences who are muslims are going to be scare at least the conjuring has good storyline this one end is very unsatisfying the vibe is good and the soundtracks is confusing but okey,netral
Low baged GK da kualitas,youtube,low baged gk da kualitas,netral
bikin ngakak..,youtube,bikin ngakak,netral
Paling sebulan lagi,youtube,bulan,netral
"Liat ratingnya dong! PG 13+ artinya remaja bisa nonton. Makanya, tingkat keseremannya diturunin. 
Kalo mau serem banget, ratingnya R, alias Restricted.",youtube,liat ratingnya pg remaja nonton tingkat rem diturunin kalo rem banget ratingnya r alias restricted,netral
bakal ad part 3. santai aja,youtube,ad part santai aja,netral
Nnton sndiri😓,youtube,nnton sndiri,netral
 @Ramm_rzzz  Ayg nya kmn ka? 🗿,youtube,rammrzzz ayg nya kmn ka,netral
Ya deh si anti film lokal,youtube,ya deh si anti film lokal,netral
"Gak tau Rumah Dara? Itu film thriller indo paling keren sih, sadis parah😂",youtube,gak tau rumah dara film thriller indo keren sih sadis parah,positif
@sipadi belum tau Rumah Dara dia tegangnya kaya gimana😂,youtube,sipadi tau rumah dara tegang kaya gimana,netral
si paling antii,youtube,si anti,netral
"iya bro FALL bagus banget, sampe bini gua malah tidur disamping gua bukannya nonton. Haram jadah",youtube,iya bro fall bagus banget sampe bini gua tidur samping gua nonton haram jadah,positif
Mataluh pick,youtube,mataluh pick,netral
Liat ratingnya! PG 13+,youtube,liat ratingnya pg,netral
 @senoadjiaditya1535  good,youtube,senoadjiaditya good,netral
"Ini film misteri lebih ke jarang horror 
Karna banyak adegan komedi
Makanya gak greget",youtube,film misteri jarang horror karna adegan komedi gak greget,netral
 @dio1698  komedi jg jrg di part 2 ini,youtube,dio komedi jg jrg part,netral
wkwk focus on islam relegion 😂 the film just talked the reality of culture of indonesia itself. my personal rating is 9/10 thats a lot of questions basically the mistery that made me really want to wait for another part .IF YOU WATCH VERY DETAIL thats so much of greece mythology in that film 😂 you just focus in the surface of cover lol,youtube,wkwk focus on islam region the film just talked the reality of culture of indonesia itself my personal rating is thats a lot of questions basically the mistery that made me really want to wait for another part if you watch very detail thats so much of greece mythology in that film you just focus in the surface of cover lol,netral
Ini mah fans conjiring,youtube,mah fans conjiring,netral
"""Budget"" kali bukan ""Baged"" wkwk, tau apa kamu film berkualitas dan gak,",youtube,budget kali baged wkwk tau film kualitas gak,netral
Ini mah fans kkn,youtube,mah fans kkn,netral
 @dio1698  bukan masalah fans atau kagak ya kalau yg dah lihat pasti tau kualitas nya itu aja,youtube,dio fans kagak ya yg dah lihat tau kualitas nya aja,netral
Luh suka KKN yah wkwkw alur gj,youtube,luh suka kkn yah wkwkw alur gj,positif
 @ytiyanrx  gak bang maaf ya itu saya salah ketik  bang,youtube,ytiyanrx gak bang maaf ya salah ketik bang,netral
Ini mah fans kkn,youtube,mah fans kkn,netral
"film yang bagus pengabdi setan yang pertama namun endingnya yang gak masuk akal, yang keduapun kyaknya sama endingya gak masuk",youtube,film bagus abdi setan endingnya gak masuk akal dua kyaknya endingya gak masuk,positif
film horor terbaik,youtube,film horor baik,netral
Saya sudah nonton di bioskop seru tapi serem banget,youtube,nonton bioskop seru rem banget,netral
"Pengen nonton tapi takut nonton sendirian, ngajak temen, tapi temennya takut nonton.. 🥲",youtube,ken nonton takut nonton ngajak temen temennya takut nonton,netral
"Gua akuin ini film nya horor banget,di tunggu Pengabdi Setan berikut nya",youtube,gua akuin film nya horor bangetdi tunggu abdi setan nya,netral
"Dari Trailer nya dan review temen yg suka horror juga Kayanya ga serem2 banget ini film. Bukannya gak mau mikir, tapi yg namanya hiburan itu mau dinikmati , jangan sampe penonton mikir keras dulu utk dapet plotnya, apalagi serial film horror bukan detektif2an",youtube,trailer nya review temen yg suka horror kaya ga rem banget film gak mikir yg nama hibur nikmat sampe tonton mikir keras utk dapet plot serial film horror detektif,positif
Seru bgt film nya,youtube,seru bgt film nya,netral
"SPOILER ALERT !!!




Knp 2 temannya si anak ke-3 (0:06)
ga ada yg mati pdhl yg premannya mati, cabe²an juga mati, ustad mati, bapak yg suka KDRT beserta istri dan anak cewenya jg mati, mamanya wisnu yg gagu juga mati, bapaknya yg bikin perjanjian dgn setan beserta anak ke-4 nya yg jd tumbal jg mati, ibu hamil mati di lift jatoh, bocil² maen lompat² akhirnya juga mati krn rebutan koin yg jatoh di bawah lift. Knp gtuh tmnnya yaitu 2 anak diblkng (0:06) ga mati ???

Spoiler
Intinya yg hidup tinggal anak ke 1 2 dan 3, temennya anak ke -3 (lihat detik 0:06) 2 orang di blkng, bapak² gondrong, bapak bule dan istrinya (di ending). Kemungkinan nanti PS S3 bakal ada mereka",youtube,spoiler alert knp teman si anak ga yg mati pdhl yg preman mati cabe mati ustad mati yg suka kdrt serta istri anak cewenya jg mati mama wisnu yg gagu mati bapak yg bikin janji dgn setan serta anak nya yg jd tumbal jg mati hamil mati lift jatoh bocil maen lompat mati krn rebut koin yg jatoh lift knp gtuh tmnnya anak diblkng ga mati spoiler inti yg hidup tinggal anak temennya anak lihat detik orang blkng gondrong bule istri ending ps s,positif
Gw udah nonton,youtube,gw udah nonton,netral
"filmnya oke, oke banget malah. tapi adegan flash pas mau ending, pusing saya 🥲",youtube,film oke oke banget adegan flash pas ending pusing,netral
Joss film nya saya liat di bioskop semoga part 3 masih ada,youtube,joss film nya liat bioskop moga part,netral
Udah nonton 🥰🥰 isi koper bhari,youtube,udah nonton isi koper bhari,netral
Xicndj,youtube,xicndj,netral
Hhtnsjfnjfkfkfk🖤,youtube,hhtnsjfnjfkfkfk,netral
"Hari ini first time gua nonton bioskop anjirr, dan yg gua tonton pengabdi setan 2 ini , gak ada obeng plotwist nya bapak nya sendiri yang punya perjanjian dengan iblis dan istri nya pun jadi korban juga",youtube,first time gua nonton bioskop anjirr yg gua tonton abdi setan gak obeng plotwist nya nya janji iblis istri nya korban,netral
Mudah2 an cepet rilis yg ke 3,youtube,mudah an cepet rilis yg,netral
Seruan pengabdi setan yg 1980,youtube,seru abdi setan yg,netral
Mantap,youtube,mantap,positif
udah dari 1-2,youtube,udah,netral
Sumpah ini film keren banget..kemaren aja baru nonton aku,youtube,sumpah film keren bangetkemaren aja nonton,positif
Kan bakalan ada kelanjutannya bujang,youtube,lanjut bujang,netral
Kenapa pas tayang di bioskop Luh ga nonton kan di bioskop beramai ramai,youtube,pas tayang bioskop luh ga nonton bioskop ama ramai,netral
mending nonton dulu ke bioskop,youtube,mending nonton bioskop,netral
" @user-wk9vv9oj3o  udah bro.. emg kenyataan kurang serem kok. Banyak flashing lamp bikin pusing, sama adegan saling tinggal-meninggalkan yg kurang smooth jdi gregetan",youtube,userwkvvojo udah bro emg nyata rem flashing lamp bikin pusing adegan tinggalmeninggalkan yg smooth jdi gregetan,netral
tahun depan,youtube,,netral
Rusun the Raid kwkwkw,youtube,rusun the raid kwkwkw,netral
Bagus bnget. Utk pngabdi setan 3 filmnya bisa di bikin seperti dokumenter jadi sperti REAL. Dan hantunya jgn keluar saat gelap saja terang juga bisa keluar. Dijamin makin merinding dan seprti nyata.,youtube,bagus bnget utk pngabdi setan film bikin dokumenter sperti real hantu jgn gelap terang jamin merinding seprti nyata,positif
"Gilak gua bela belain pulang kampus sendirian nonton dan pulang udah malam banget naik angkutan umum, kerasa banget jadi cast PS2 😂",youtube,gilak gua bela bain pulang kampus nonton pulang udah malam banget angkut rasa banget cast ps,netral
suka banget sama pengabdi ketan,youtube,suka banget abdi ketan,positif
"Udah nonton dan bener bener sebagus itu film nya. Top bgt pokoknya,ditunggu film""lain berikutnya ya pak joko anwar",youtube,udah nonton bener bener bagus film nya top bgt pokoknyaditunggu filmlain ya joko anwar,positif
Gvyvo,youtube,gvyvo,netral
Mantap vilm nya seru dan aga seram 🙏,youtube,mantap vilm nya seru aga seram,positif
Pengemasannya kok mirip2 Insidious ya?,youtube,emas insidious ya,netral
"Okay! so i don't know what country is this movie from or what's the language and why YouTube decided to show me this trailer as an ad when i was just chilling in the dark alone at 3 AM. I don't know why i didn't skip it but believe me the amount of fear and helplessness i felt is unmatched. I love scary and horror stuff i live for it but this was something else. I was scared to move, i'm still feeling like someone's in the room with me, i was scared to get up and turn on the lights. I know i've missed this feeling for so long but this was so much sinister i don't even know if i'm gonna watch the movie as the trailer did pretty well on it's own. Hats off to whoever created this masterpiece.",youtube,okay so i dont know what country is this movie from or whats the language and why youtube decided to show me this trailer as an ad when i was just chilling in the dark alone at am i dont know why i didnt skip it but believe me the amount of fear and helplessness i felt is unmatched i love scary and horror stuff i live for it but this was something else i was scared to move im still feeling like someones in the room with me i was scared to get up and turn on the lights i know ive missed this feeling for so long but this was so much sinister i dont even know if im gonna watch the movie as the trailer did pretty well on its own hats off to whoever created this masterpiece,netral
"Komen gw disini waktu trailernya keluar cuma 1 kata: LAME. Setelah nonton filmnya, ternyata gw salah, mestinya: LAME & PRETENTIOUS. Yang bagus cuma sinematografinya walau cukup klise. Walaupun ada beberapa flaws, Perempuan Tanah Jahanam (Impetigore) masih lebih bagus dari Pengabdi Sachetan 1 & 2.",youtube,komen gw trailer lame nonton film gw salah mesti lame pretentious bagus sinematografi klise flaws perempuan tanah jahanam impetigore bagus abdi sachetan,positif
Seumur hidup gapernah nonton bioskop sekali nya nonton film ini. Ehhh keren banget apalagi nonton sama ayang,youtube,umur hidup gapernah nonton bioskop nya nonton film ehhh keren banget nonton ayang,positif
Baru tau kalo ternyata syutingnya di rusun sumber arta omggggggg,youtube,tau kalo syuting rusun sumber arta omggggggg,netral
"NGGA SEBAGUS PENGABDI SETAN 1!!!
KECEWA BGT DAH",youtube,ngga bagus abdi setan kecewa bgt dah,positif
"""KALIAN TIDAK AKAN PERCAYA, SAMPAI KALIAN MENGALAMINYA"" #KokoStory",youtube,percaya alam kokostory,netral
yang bikin merinding pas anak kecil jadi geprek karena ketindihan lift,youtube,bikin merinding pas anak geprek tindih lift,netral
Maaf Ps kedua tidak sebagus ceritanya ps 1..,youtube,maaf ps bagus cerita ps,positif
Siapa yg takut ketiggian jgn nton flm fall 2022 anjirr telapak kaki tangan linu liatnya,youtube,yg takut ketiggian jgn nton flm fall anjirr telapak kaki tangan linu liat,netral
Jlek,youtube,jlek,netral
"jujur, gw nntn sama temen gw teriak'an trs di bioskop",youtube,jujur gw nntn temen gw ria trs bioskop,netral
Film horor terbaik.pengabdi setan 2,youtube,film horor terbaikpengabdi setan,netral
"Wkwk keliatan bgtt sengaja nya, dan akhirnya menjadi garing",youtube,wkwk liat bgtt sengaja nya garing,netral
" @salmanaman113  iy sih, krna huruf s sama k jaraknya jauh",youtube,salmanaman iy sih krna huruf s k jarak,netral
This was Indonesian horror movies sequel of Satan's Slaves 2017.,youtube,this was indonesian horror movies sequel of satans slaves,netral
"Impetigore, The Queen of Black Magic, May The Devil Take You, Macabre was among the best Indonesian horror you have to seen. Indonesian horror probably not as popular than Thai, korean and Japanese",youtube,impetigore the queen of black magic may the devil take you macabre was among the best indonesian horror you have to seen indonesian horror probably not as popular than thai korean and japanese,netral
Bacodddd lo bocilllll penyepong film KKN desa ponari! Selera lo rendahan bgt berarti kalo lo kata PS2 itu lame 🤣,youtube,bacodddd lo bocilllll penyepong film kkn desa ponari selera lo rendah bgt kalo lo ps lame,netral
Bacodddd lo bocilllll penyepong film KKN desa ponari! Selera lo rendahan bgt berarti kalo lo kata PS2 itu lame 🤣,youtube,bacodddd lo bocilllll penyepong film kkn desa ponari selera lo rendah bgt kalo lo ps lame,netral
laki lebay amat,youtube,laki lebay,netral
FILM BASA BASI KHAS BUATAN NEGERI INI... NTAH DIMANA LETAK SERAMNYA.. BAHKAN FILM YG PERTAMA PUN BIASA AJA.. SANGKING GA SERAMNY JD SULIT KOMEN APA YG  COCOK🤣,youtube,film basa basi khas buat negeri ntah mana letak seram film yg aja sangking ga seramny jd sulit komen yg cocok,positif
B aja. Film pengabdi dukun,youtube,b aja film abdi dukun,netral
Film bikin sakit mata!!!! Lampunya hotang2 trs,youtube,film bikin sakit mata lampu hotang trs,netral
"Juara dah film nya, sampe ketakutan gua 🤦",youtube,juara dah film nya sampe takut gua,netral
Malu deck udah gede takut sama hantu,youtube,malu deck udah gede takut hantu,netral
Lebai,youtube,lebai,netral
"Udah nonton dan aku acungin jempol untk cinematografinya, jump scare, membangun suasana serem dan mencekamnya dapet bgt, buat visualnya juga enak bgt dimata. Cuman secara personal lebih suka pengabdi setan pertama. Disini banyak fokus ke jumpscare dan plotnya kurang diceritakan, terutama building karakternya juga kurang. Buat kalian pecinta horror dan suka jump scare ini emg recommended.",youtube,udah nonton acungin jempol untk cinematografinya jump scare bangun suasana rem cekam dapet bgt visual enak bgt mata cuman personal suka abdi setan fokus jumpscare plot cerita building karakter cinta horror suka jump scare emg recommended,positif
"Just watched yesterday,sorry but can be improve more.
Rating by me : 2.8/10.",youtube,just watched yesterdaysorry but can be improve more rating by me,netral
"SUMPAH GA SERAM

FILM HORROR INDO GAK AD YG BERHASIL BUAT AKU MERINDING.. PAYAH",youtube,sumpah ga seram film horror indo gak ad yg hasil merinding payah,positif
Sepanjang film jantung mau copot rasanya,youtube,film jantung copot,netral
Ngeri bgt njir filmnya,youtube,ngeri bgt njir film,netral
Pertanyaan: kemana si ustadz? 👁️👄👁️,youtube,mana si ustadz,netral
Sdh nonton dibioskop kmrn. .. Mnrt aku lbh seram yg pertama 🙏,youtube,sdh nonton bioskop kmrn mnrt lbh seram yg,positif
⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐,youtube,,netral
"Saya baru aja nonton. Sumpahh bagusss bangett ni film, ku kira si tari sama si cowonya selamat ternyata mati secara tragis",youtube,aja nonton sumpahh bagusss bangett ni film ku si tari si cowonya selamat mati tragis,positif
"Masih sereman film ""MUNAFIK 2""",youtube,rem film munafik,netral
"Film apa sih ini??gak ada contoh yg baiik yang bisa di ambil dari film2 seperti ini,,sorry",youtube,film sih inigak contoh yg baiik ambil film inisorry,netral
Pokoknya seneng bgt nntn film ini bs liat acting om egy fedly dr awal lebih banyak dibanding pengabdi setan yg pertma cz beliau idolaku orang yg sangat ramah bgt,youtube,pokok neng bgt nntn film bs liat acting om egy fedly dr banding abdi setan yg pertma cz beliau idola orang yg ramah bgt,netral
Liat mayat jd rajin shalat 😂ngeri bgd sumpah,youtube,liat mayat jd rajin shalat ngeri bgd sumpah,netral
gue nonton 3 kali hehehe sumpah skrng pengen nonton lagi,youtube,gue nonton kali hehehe sumpah skrng ken nonton,netral
Punya masalah apa sih lu sama film lokal,youtube,sih lu film lokal,netral
 @earthquakevideoworld1899  hadeh pura2 gatau aj😂,youtube,earthquakevideoworld hadeh pura gatau aj,netral
" @earthquakevideoworld1899  udh bang biarin aja ni orang, debat sama orang  bErKuAliTaS tInGgI gk akan ada habisnye",youtube,earthquakevideoworld udh bang biarin aja ni orang debat orang kualitas gk habisnye,netral
" @earthquakevideoworld1899  KKN itu film yg berasal dri lawakan 😂

Bkn selera gw. Apalagi in🤣",youtube,earthquakevideoworld kkn film yg asal dri lawa bkn selera gw in,netral
 @IkkaMakassarOfficial  Bacodddd lo bocilllll penyepong film KKN desa ponari! Selera lo rendahan bgt berarti kalo lo kata PS2 itu lame 🤣,youtube,ikkamakassarofficial bacodddd lo bocilllll penyepong film kkn desa ponari selera lo rendah bgt kalo lo ps lame,netral
Caper,youtube,caper,netral
Si adek sangat lucu,youtube,si adek lucu,netral
Bacodddd lo bocilllll penyepong film KKN desa ponari! Selera lo rendahan bgt berarti kalo lo kata PS2 itu lame 🤣,youtube,bacodddd lo bocilllll penyepong film kkn desa ponari selera lo rendah bgt kalo lo ps lame,netral
Bacodddd lo bocilllll penyepong film KKN desa ponari! Selera lo rendahan bgt berarti kalo lo kata PS2 itu lame 🤣,youtube,bacodddd lo bocilllll penyepong film kkn desa ponari selera lo rendah bgt kalo lo ps lame,netral
"wajar horor, mau terang liat genre komedi 🤣",youtube,wajar horor terang liat genre komedi,netral
 @Erwan000  lampunya goyang bkn gelep peak,youtube,erwan lampu goyang bkn gelep peak,netral
Malu kack udah gede takut sama hantu tanpa kepala dan takut sama siluman ular,youtube,malu kack udah gede takut hantu kepala takut siluman ular,netral
"Manusia sok profesional, nilai nya gatau dari mana wkwkwk",youtube,manusia sok profesional nilai nya gatau wkwkwk,netral
" @Youbitxhstgu  Ni bukan professional ke not professional.
Everyone is entitled to each of their own opinions.
Kalau kau tengok movie tak bagus,takkan kau nak bilang film producer that movie dia bagus?

""Biar pandai,jangan pandai-pandai""
""Better be frank than being a hypocrite""",youtube,youbitxhstgu ni professional not professional everyone is entitled to each of their own opinions kau tengok movie bagustakkan kau nak bilang film producer that movie bagus biar pandaijangan pandaipandai better be frank than being a hypocrite,positif
Gw rating 0.5/10 😂,youtube,gw rating,netral
"Cuman mau koreksi sebaiknya kalo ga ada film horor yg bikin kamu merinding mending ga usah pake kata""payah""menurutku itu kata2 yg menjatuhkan",youtube,cuman koreksi kalo ga film horor yg bikin merinding mending ga pake katapayahmenurutku yg jatuh,netral
 @Ramm_rzzz  itu la ciri ciri ga bisa menghargai,youtube,rammrzzz la ciri ciri ga harga,netral
"Gatau teori nya diem aja mas, kalo nonton makanya ditonton full secara seksama. Film begini tu harus mikir, gak kek lu.",youtube,gatau teori nya diem aja mas kalo nonton tonton full seksama film tu mikir gak kek lu,netral
 @Youbitxhstgu  sangking gw pintarny makany film cemen gini gak ngaruh... Ga ad tkut2ny sedikitpun.. Beda sm otak terbatas.. Ginian pst rasa film seram tingkat kecamatan 😂,youtube,youbitxhstgu sangking gw pintarny makany film cemen gin gak ngaruh ga ad tkutny sedikit beda sm otak batas ginian pst film seram tingkat camat,positif
Bacodddd lo bocilllll blok! Selera lo rendahan bgt berarti kalo lo kata PS2 itu lame 🤣,youtube,bacodddd lo bocilllll blok selera lo rendah bgt kalo lo ps lame,netral
Oh,youtube,oh,netral
Wkwkw lebay,youtube,wkwkw lebay,netral
" @IkkaMakassarOfficial   Lah emang kenapa?? ada komentar memuji bagus dan keren film ini, (LU GAK TERIMA), ada yg komen serem bgt takutt,( LU BILANG LEBAYY) terserah orang dong berpendapat jujur, giliran komen kamu di balas lu gak terima, kalo lu gak suka gapapa,hargai pendapat orang lain,",youtube,ikkamakassarofficial emang komentar puji bagus keren film lu gak terima yg komen rem bgt takutt lu bilang lebayy serah orang dapat jujur gilir komen balas lu gak terima kalo lu gak suka gapapahargai dapat orang,positif
" @IkkaMakassarOfficial  bocil idiot, segala komen orang dinimbrungin🤣",youtube,ikkamakassarofficial bocil idiot komen orang dinimbrungin,netral
Kan meninggal di tangga..hehe spoiler maaf,youtube,tinggal tanggahehe spoiler maaf,netral
"jadi Jin juga dia, jin jahat sih sholat aj masi berani di ganggu",youtube,jin jin jahat sih sholat aj mas berani ganggu,netral
Dua2ny ga seram,youtube,duany ga seram,positif
 @IkkaMakassarOfficial  Bacodddd lo bocilllll penyepong film KKN desa ponari! Selera lo rendahan bgt berarti kalo lo kata PS2 itu lame 🤣,youtube,ikkamakassarofficial bacodddd lo bocilllll penyepong film kkn desa ponari selera lo rendah bgt kalo lo ps lame,netral
Penonton Indonesia yang baik: Langsung spoil nasib karakternya 🤣🤣🤣,youtube,tonton indonesia langsung spoil nasib karakter,netral
"Belajar Bahasa Indonesia makanya mas, di film ini amanat lebih intrinsik.",youtube,ajar bahasa indonesia mas film amanat intrinsik,netral
 @Youbitxhstgu  wkwkw fans fanatik berulah lg,youtube,youbitxhstgu wkwkw fans fanatik ulah lg,netral
"Hmff,boomer",youtube,hmffboomer,netral
"menurut gua sih kalo horornya kurang, karna yah cuma main suara ama penampakan, tapi untuk story/jalan cerita bagussss bgt rekomenn",youtube,gua sih kalo horor karna yah main suara ama tampak storyjalan cerita bagussss bgt rekomenn,positif
"masih hororan yang ke 1, ke 2 ini creepynya kurang greget sihh banyak main di flash juga. durasi terakhir bagus sih yang bagian sekte"", coba om Joko bikin film sekte bagus mungkinn",youtube,horor creepynya greget sihh main flash durasi bagus sih sekte coba om joko bikin film sekte bagus mungkinn,positif
Maaf ya.kalo menurut saya lebih seru film pengabdi setan yg pertama.di bandingkan yg kedua🙏,youtube,maaf yakalo seru film abdi setan yg pertamadi banding yg,netral
"Gua yg udh nnton 5 kali,sangking sukanya",youtube,gua yg udh nnton kalisangking suka,positif
B aja,youtube,b aja,netral
Gk serem 😴😴,youtube,gk rem,netral
Masih penasaran sama kerja bapaknya,youtube,penasaran kerja bapak,netral
Baru x ini nntn film horor ustad selalu kalah sm setan 😅😅😅😅,youtube,x nntn film horor ustad kalah sm setan,netral
"Tetep ... masih ciri Khasnya. Ngasi plot hole. Bagus sih, tp predictable.",youtube,tetep ciri khas ngasi plot hole bagus sih tp predictable,positif
"Puas bangetttttt ga nyesel beli tiket kalo , maju terus perfileman indonesia👍👍👍👍",youtube,puas bangetttttt ga nyesel beli tiket kalo maju perfileman indonesia,netral
Ni horror terbaik 2022 gak nyesel nonton bagus pake bangeeeeeeeeeet,youtube,ni horror baik gak nyesel nonton bagus pake bangeeeeeeeeeet,positif
Yokk Bisa yok pengabadi setan 3 😻🔥,youtube,yokk yok abadi setan,netral
Ending ny b aja,youtube,ending ny b aja,netral
Keren banget filmnya... Jadi pingin nonton lagiii!!!!,youtube,keren banget film pingin nonton lagiii,positif
"plis film ini pemainya semua totalitas bangett,, trus yang poci2nya bner2 kek real bangettt,, asli merindinbg gila si pas nntonn,, tp kyak merasa kurang pas akhir2nya,, apa jngan2 nnti ada pengabdi setan 3 :) semoga deh ada kelnjutanyaaaa,. hehe",youtube,plis film mai totalitas bangett trus poci bner kek real bangettt asli merindinbg gila si pas nntonn tp kyak pas jngan nnti abdi setan moga deh kelnjutanyaaaa hehe,netral
"Yang paling aku suka adegan anak kecil ngambilin koin , view tempat sampah, sama, cerita radio. Sampe pengecekan jenazah. The best!!",youtube,suka adegan anak ngambilin koin view sampah cerita radio sampe kece jenazah the best,positif
